product_id,product_title,rating,total_reviews,price,top_reviews
itm566994e00dfc0,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",4.7,16,"₹1,23,499","5 Highly recommended Final boss in this year! 😤🔥 READ MORE Akash Gain Certified Buyer , Barasat 2 months ago 116 29 Permalink Report Abuse || 5 Must buy! Perfect Phone READ MORE Abhay Shukla Certified Buyer , Hyderabad 6 months ago 286 93 Permalink Report Abuse || 5 Great product Beast READ MORE Ashish Mehra Certified Buyer , Mahesana District 5 months ago 98 36 Permalink Report Abuse"
itm413a5c3f30151,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)",4.7,222,"₹1,23,499","5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 6 months ago 939 276 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 7 months ago 2020 634 Permalink Report Abuse || 5 Mind-blowing purchase 25 Ultra, you beauty! 🔥💯 READ MORE Pavan Kumar Certified Buyer , Bengaluru 3 months ago 62 12 Permalink Report Abuse"
itm7d3b6b5d0f501,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)",4.6,437,"₹84,800","5 Worth every penny Best in night photography READ MORE himanshu mehta Certified Buyer , Himmatnagar Feb, 2024 9662 2013 Permalink Report Abuse || 5 Terrific purchase Amazing Products 👏 🤩 READ MORE Narendra  Singh Certified Buyer , Jaipur Feb, 2024 2457 525 Permalink Report Abuse || 5 Super! Best mobile for photography Charging wise also good No issues at all. Giving my review after using it almost 50 days. READ MORE ROHITH CHINTA Certified Buyer , East Godavari Mar, 2024 3473 755 Permalink Report Abuse"
itm12ef5ea0212ed,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",4.6,437,"₹81,949","5 Worth every penny Best in night photography READ MORE himanshu mehta Certified Buyer , Himmatnagar Feb, 2024 9662 2013 Permalink Report Abuse || 5 Terrific purchase Amazing Products 👏 🤩 READ MORE Narendra  Singh Certified Buyer , Jaipur Feb, 2024 2457 525 Permalink Report Abuse || 5 Super! Best mobile for photography Charging wise also good No issues at all. Giving my review after using it almost 50 days. READ MORE ROHITH CHINTA Certified Buyer , East Godavari Mar, 2024 3473 755 Permalink Report Abuse"
